page,Economy,Human Rights,Peace,Environment,Land Reform,Health,Education,Security
410,2,2,0,0,1,2,4,0
411,0,0,1,1,0,0,0,0
412,0,3,0,0,5,2,1,0
413,3,1,1,3,8,6,2,0
414,2,3,7,5,4,2,5,0
415,6,0,2,0,1,0,0,0
416,0,0,0,0,0,0,0,0
417,0,7,3,0,2,0,0,2
418,0,5,3,0,1,0,2,0
419,0,8,1,0,1,3,1,0
420,0,4,4,0,2,0,1,0
421,0,3,4,0,2,1,2,1
422,0,1,0,1,0,0,0,0
423,1,3,0,0,0,2,2,1
424,2,0,0,12,1,4,3,0
425,2,3,1,10,2,2,0,2
426,0,5,3,1,3,1,2,0
427,0,0,0,0,1,0,0,0
428,1,5,0,1,7,2,0,1
429,0,3,0,2,7,0,0,0
430,0,0,0,3,11,4,2,1
431,2,2,2,7,4,5,9,0
432,0,0,0,0,0,0,0,0
